Distance from the cathode,nH,Err,nCH,Err,nC2,Err
mm,m\+(-3),,m\+(-3),,m\+(-3),
0,0,0,0,0,0,0
0.0340681362725451,0,0,128541689311455,51416675724582,4.10265449157233E16,1.64106179662893E16
0.0681362725450902,2.41146730189994E21,1.08516028585497E21,257083378622910,102833351449164,8.20530898314467E16,3.28212359325787E16
0.102204408817635,8.07394978117612E21,3.63327740152925E21,321740115930432,128696046372173,1.2307963474717E17,4.9231853898868E16
0.13627254509018,7.73195391858105E21,3.47937926336147E21,320556239437983,128222495775193,1.29060460593212E17,5.16241842372848E16
0.170340681362725,6.70254585428383E21,3.01614563442772E21,319372362945535,127748945178214,1.30318813656815E17,5.2127525462726E16
0.204408817635271,6.60426169412449E21,2.97191776235602E21,323327838018293,129331135207317,1.31577166720418E17,5.26308666881672E16
0.238476953907816,1.02308644309969E22,4.60388899394861E21,327361976635417,130944790654167,1.3183022218706E17,5.2732088874824E16
0.272545090180361,1.46473158943752E22,6.59129215246884E21,331554896228413,132621958491365,1.31770152172681E17,5.27080608690724E16
0.306613226452906,1.38111307792122E22,6.21500885064549E21,335921639205520,134368655682208,1.31710082158302E17,5.26840328633208E16
0.340681362725451,1.35759962613276E22,6.10919831759742E21,340288382182628,136115352873051,1.36644461504835E17,5.4657784601934E16
0.374749498997996,1.38223852333082E22,6.22007335498869E21,348102486685974,139240994674390,1.44342759429738E17,5.77371037718952E16
0.408817635270541,1.37088704498555E22,6.16899170243498E21,356023763050239,142409505220096,1.5204105735464E17,6.0816422941856E16
0.442885771543086,1.42287326709366E22,6.40292970192147E21,375414270981247,150165708392499,1.55837608613945E17,6.2335043445578E16
0.476953907815631,1.56817751342276E22,7.05679881040242E21,408143993886620,163257597554648,1.56104008128187E17,6.24416032512748E16
0.511022044088176,1.18141909750422E22,5.31638593876899E21,440873716791993,176349486716797,1.56370407642428E17,6.25481630569712E16
0.545090180360721,9.48692983827984E21,4.26911842722593E21,478906721180476,191562688472190,1.56544135246829E17,6.26176540987316E16
0.579158316633267,1.46351881441482E22,6.58583466486669E21,517190933639211,206876373455684,1.56582419290693E17,6.26329677162772E16
0.613226452905812,1.24077604509044E22,5.58349220290698E21,531360374311902,212544149724761,1.56620703334558E17,6.26482813338232E16
0.647294589178357,7.24987760173072E21,3.26244492077882E21,515725040867009,206290016346804,1.57330502946647E17,6.29322011786588E16
0.681362725450902,5.86659282536554E21,2.63996677141449E21,500089707422116,200035882968846,1.59704493314773E17,6.38817973259092E16
0.715430861723447,5.37494278058849E21,2.41872425126482E21,481115475939629,192446190375852,1.62078483682899E17,6.48313934731596E16
0.749498997995992,5.65429453312589E21,2.54443253990665E21,461926983620505,184770793448202,1.6464718840988E17,6.5858875363952E16
0.783567134268537,5.63047496441132E21,2.53371373398509E21,462844781488872,185137912595549,1.68175041645292E17,6.72700166581168E16
0.817635270541082,5.81715399445275E21,2.61771929750374E21,490181309487315,196072523794926,1.71702894880704E17,6.86811579522816E16
0.851703406813627,6.35465229476652E21,2.85959353264493E21,517517837485758,207007134994303,1.75323688575448E17,7.01294754301792E16
0.885771543086172,7.07745499443247E21,3.18485474749461E21,564569865672616,225827946269046,1.80710350997487E17,7.22841403989948E16
0.919839679358718,7.97701933974787E21,3.58965870288654E21,613229135722660,245291654289064,1.86097013419526E17,7.44388053678104E16
0.953907815631263,9.3027282356958E21,4.18622770606311E21,658822181750317,263528872700127,1.91483675841565E17,7.6593470336626E16
0.987975951903808,7.97278115283959E21,3.58775151877782E21,700129902638250,280051961055300,1.91703151531577E17,7.66812606126308E16
1.02204408817635,5.55289502969783E21,2.49880276336402E21,741437623526183,296575049410473,1.91541157060164E17,7.66164628240656E16
1.0561122244489,5.55798849813337E21,2.50109482416002E21,730114118631905,292045647452762,1.91379162588752E17,7.65516650355008E16
1.09018036072144,7.5811811277413E21,3.41153150748359E21,713556569184701,285422627673880,1.93142327757862E17,7.72569311031448E16
1.12424849699399,1.14871126089308E22,5.16920067401886E21,698618751815554,279447500726222,1.95349760536324E17,7.81399042145296E16
1.15831663326653,8.12887260901826E21,3.65799267405822E21,686090285912516,274436114365006,1.97557193314786E17,7.90228773259144E16
1.19238476953908,6.00158834919875E21,2.70071475713944E21,673561820009479,269424728003792,2.01610085804143E17,8.06440343216572E16
1.22645290581162,6.72603694789714E21,3.02671662655371E21,699339239626606,279735695850642,2.064776406884E17,8.259105627536E16
1.26052104208417,6.80460807770279E21,3.06207363496626E21,729635892928696,291854357171478,2.11345195572657E17,8.45380782290628E16
1.29458917835671,6.30052892639457E21,2.83523801687756E21,752390642751507,300956257100603,2.16691490470461E17,8.66765961881844E16
1.32865731462926,4.3283703343506E21,1.94776665045777E21,763195883165588,305278353266235,2.22391636682626E17,8.89566546730504E16
1.3627254509018,3.69217352625772E21,1.66147808681597E21,774001123579670,309600449431868,2.28091782894791E17,9.12367131579164E16
1.39679358717435,3.76913536299376E21,1.69611091334719E21,797130786508167,318852314603267,2.33257242270335E17,9.3302896908134E16
1.43086172344689,3.63221001031261E21,1.63449450464067E21,821950655952927,328780262381171,2.37785472128264E17,9.51141888513056E16
1.46492985971944,3.77857410128333E21,1.7003583455775E21,832990731182158,333196292472863,2.42313701986192E17,9.69254807944768E16
1.49899799599198,4.21002060706827E21,1.89450927318072E21,820754126993263,328301650797305,2.45708828264007E17,9.82835313056028E16
1.53306613226453,5.5447908744679E21,2.49515589351055E21,808517522804368,323407009121747,2.46879714180858E17,9.87518856723432E16
1.56713426853707,5.86564359555888E21,2.6395396180015E21,757377712748568,302951085099427,2.48050600097709E17,9.92202400390836E16
1.60120240480962,4.16749229065226E21,1.87537153079352E21,700131004097382,280052401638953,2.49644087035885E17,9.9857634814354E16
1.63527054108216,3.8721107242347E21,1.74244982590562E21,662387370484739,264954948193896,2.52746863335938E17,1.01098745334375E17
1.66933867735471,3.91149584012058E21,1.76017312805426E21,659804210181018,263921684072407,2.55849639635992E17,1.02339855854397E17
1.70340681362725,3.67377577058492E21,1.65319909676321E21,657221049877298,262888419950919,2.58991943953747E17,1.03596777581499E17
1.7374749498998,3.50810204271345E21,1.57864591922105E21,657397249659387,262958899863755,2.6249000043082E17,1.04996000172328E17
1.77154308617234,3.38781041514476E21,1.52451468681514E21,658063276675644,263225310670258,2.65988056907894E17,1.06395222763158E17
1.80561122244489,3.31448032856418E21,1.49151614785388E21,659462695361002,263785078144401,2.69486113384968E17,1.07794445353987E17
